epa_pool,year,stock_mmt_c,note
Forest_Area_kha,1990,283500,Forest land area in 1000 hectares; CONUS+AK+HI+territories
Forest_Area_kha,2005,282521,
Forest_Area_kha,2019,281137,
Forest_Area_kha,2020,281779,
Forest_Area_kha,2021,281780,
Forest_Area_kha,2022,281752,
Forest_Area_kha,2023,281725,
AGB,1990,12739,Aboveground Biomass: live tree AG + understory AG
AGB,2005,15122,
AGB,2019,17199,
AGB,2020,17340,
AGB,2021,17483,
AGB,2022,17622,
AGB,2023,17757,
BGB,1990,2255,Belowground Biomass: live tree BG + understory BG (10%)
BGB,2005,2718,
BGB,2019,3124,
BGB,2020,3151,
BGB,2021,3179,
BGB,2022,3207,
BGB,2023,3233,
DEAD_WOOD,1990,1977,Dead Wood: standing dead + downed dead
DEAD_WOOD,2005,2521,
DEAD_WOOD,2019,3038,
DEAD_WOOD,2020,3074,
DEAD_WOOD,2021,3111,
DEAD_WOOD,2022,3148,
DEAD_WOOD,2023,3184,
LITTER,1990,3789,Litter and duff (Domke 2016 model)
LITTER,2005,3794,
LITTER,2019,3775,
LITTER,2020,3767,
LITTER,2021,3768,
LITTER,2022,3768,
LITTER,2023,3761,
SOIL_MINERAL,1990,28407,Mineral soil to 1m depth (Domke 2017 model)
SOIL_MINERAL,2005,28401,
SOIL_MINERAL,2019,28400,
SOIL_MINERAL,2020,28400,
SOIL_MINERAL,2021,28401,
SOIL_MINERAL,2022,28401,
SOIL_MINERAL,2023,28401,
SOIL_ORGANIC,1990,5976,"Histosols/organic soils; not reproducible from FIADB attributes alone (IPCC defaults)"
SOIL_ORGANIC,2005,5981,
SOIL_ORGANIC,2019,5983,
SOIL_ORGANIC,2020,5983,
SOIL_ORGANIC,2021,5983,
SOIL_ORGANIC,2022,5983,
SOIL_ORGANIC,2023,5983,
FOREST_ECOSYSTEM,1990,55142,Sum of AGB+BGB+Dead Wood+Litter+Soil(Mineral)+Soil(Organic)
FOREST_ECOSYSTEM,2005,58536,
FOREST_ECOSYSTEM,2019,61519,
FOREST_ECOSYSTEM,2020,61717,
FOREST_ECOSYSTEM,2021,61926,
FOREST_ECOSYSTEM,2022,62130,
FOREST_ECOSYSTEM,2023,62320,
