ECOPROV,hw_sw,CR_MEAN
132,softwood,43.9
132,hardwood,41.6
133,softwood,49.6
133,hardwood,41.5
211,softwood,42.6
211,hardwood,39.2
212,softwood,48.0
212,hardwood,38.6
221,softwood,42.2
221,hardwood,38.5
222,softwood,44.5
222,hardwood,38.8
223,softwood,42.8
223,hardwood,38.5
231,softwood,34.8
231,hardwood,37.4
232,softwood,33.1
232,hardwood,35.8
234,softwood,40.6
234,hardwood,38.9
242,softwood,48.2
242,hardwood,35.6
251,softwood,62.1
251,hardwood,38.5
255,softwood,43.1
255,hardwood,36.6
261,softwood,38.9
261,hardwood,40.2
262,softwood,28.8
262,hardwood,40.0
263,softwood,40.3
263,hardwood,38.1
313,softwood,65.7
313,hardwood,46.9
315,softwood,74.2
315,hardwood,43.6
321,softwood,63.1
321,hardwood,63.8
322,softwood,64.8
322,hardwood,56.5
331,softwood,56.3
331,hardwood,41.2
332,softwood,56.4
332,hardwood,38.9
341,softwood,68.5
341,hardwood,39.9
342,softwood,65.6
342,hardwood,40.2
411,softwood,29.5
411,hardwood,28.1
M132,softwood,45.9
M132,hardwood,42.4
M133,softwood,55.8
M133,hardwood,44.9
M134,softwood,58.7
M134,hardwood,52.4
M211,softwood,41.2
M211,hardwood,39.0
M221,softwood,42.2
M221,hardwood,37.6
M223,softwood,44.3
M223,hardwood,40.3
M231,softwood,36.4
M231,hardwood,41.4
M241,softwood,42.7
M241,hardwood,44.0
M242,softwood,50.4
M242,hardwood,37.8
M261,softwood,48.6
M261,hardwood,40.7
M262,softwood,61.7
M262,hardwood,41.1
M313,softwood,56.7
M313,hardwood,53.3
M331,softwood,56.1
M331,hardwood,37.2
M332,softwood,53.6
M332,hardwood,43.5
M333,softwood,48.8
M333,hardwood,38.9
M334,softwood,49.8
M334,hardwood,47.9
M341,softwood,66.6
M341,hardwood,40.9
UNDEFINED,softwood,46.8
UNDEFINED,hardwood,38.0
